date,product_id,sales_units,price,discount,stock_level,rating,is_sale_period,holiday,weather,ad_spend,initial_stock,daily_restock,warehouse_id
2023-01-01,L'Oreal Paris Voluminous Mascara,35,3008.4,1.44,473,4.8,0,0,Stormy,5457.56,727,50,W1
2023-01-01,Lakme Absolute Skin Natural Mousse,91,1333.29,18.68,607,4.8,1,1,Snowy,30878.39,698,50,W1
2023-01-01,Clinique Moisture Surge Hydrator,32,4796.07,24.45,98,4.3,0,0,Sunny,16302.65,767,0,W2
2023-01-01,Bobbi Brown Instant Full Cover Concealer,81,1119.58,12.25,214,3.8,0,0,Rainy,32917.75,818,0,W1
2023-01-01,MAC Studio Fix Powder Plus Foundation,45,2235.95,10.7,530,3.8,1,0,Rainy,47235.67,577,0,W1
2023-01-01,Maybelline Superstay Matte Ink Lipstick,50,1462.71,12.77,409,3.5,0,0,Stormy,30595.77,920,0,W2
2023-01-02,Clinique Moisture Surge Hydrator,53,2957.94,15.7,755,4.3,0,0,Sunny,35215.27,808,0,W1
2023-01-02,L'Oreal Paris Voluminous Mascara,48,3215.43,1.35,697,4.2,0,0,Rainy,16643.72,745,0,W1
2023-01-02,Maybelline Superstay Matte Ink Lipstick,67,4106.15,26.34,619,4.8,0,0,Sunny,23003.65,945,0,W1
2023-01-02,Lakme Absolute Skin Natural Mousse,67,4157.71,16.92,607,5.0,0,0,Sunny,28677.43,749,50,W2
2023-01-02,Revlon Colorstay Liquid Eyeliner,46,2640.76,28.55,215,3.7,0,0,Sunny,22660.31,933,100,W3
2023-01-02,Nykaa Matte Nail Enamel,19,4959.54,17.07,342,3.6,0,0,Sunny,18654.71,721,0,W1
2023-01-02,Huda Beauty Rose Gold Remastered Eyeshadow,51,1759.24,2.86,765,4.8,0,0,Sunny,5645.81,816,0,W1
2023-01-03,Huda Beauty Rose Gold Remastered Eyeshadow,87,2665.04,13.82,137,3.8,0,0,Stormy,31821.51,701,0,W3
2023-01-03,The Ordinary Niacinamide 10% + Zinc 1% Serum,51,3649.49,27.03,212,4.1,0,0,Stormy,38460.88,761,0,W1
2023-01-03,Bobbi Brown Instant Full Cover Concealer,59,1798.9,16.28,341,4.6,0,1,Stormy,39302.11,651,200,W2
2023-01-03,MAC Studio Fix Powder Plus Foundation,44,894.74,25.0,422,4.6,0,0,Sunny,40604.01,900,0,W3
2023-01-03,Maybelline Superstay Matte Ink Lipstick,56,807.75,21.53,598,4.1,0,1,Stormy,27411.94,654,50,W2
2023-01-04,Huda Beauty Rose Gold Remastered Eyeshadow,85,4541.02,29.66,439,4.7,0,0,Sunny,24838.62,679,0,W3
2023-01-04,Clinique Moisture Surge Hydrator,41,3622.02,25.71,294,3.9,0,0,Stormy,40155.68,732,0,W1
2023-01-04,L'Oreal Paris Voluminous Mascara,15,2288.2,7.45,481,4.0,1,0,Sunny,41596.49,663,100,W3
2023-01-04,Nykaa Matte Nail Enamel,33,958.16,2.51,334,4.2,1,1,Rainy,42183.56,999,0,W1
2023-01-04,The Ordinary Niacinamide 10% + Zinc 1% Serum,35,3909.85,0.26,172,4.2,0,0,Sunny,45908.67,576,0,W2
2023-01-05,Nykaa Matte Nail Enamel,58,1820.15,20.34,417,4.6,0,0,Sunny,11912.24,814,0,W2
2023-01-05,Revlon Colorstay Liquid Eyeliner,34,3629.26,21.08,400,4.7,1,0,Sunny,42380.57,548,100,W2
2023-01-05,Lakme Absolute Skin Natural Mousse,27,563.9,17.74,547,3.6,0,0,Sunny,22290.27,762,0,W2
2023-01-05,Maybelline Superstay Matte Ink Lipstick,2,1109.93,3.91,408,3.6,0,0,Sunny,40433.96,558,0,W3
2023-01-05,L'Oreal Paris Voluminous Mascara,54,3416.87,22.23,859,4.8,0,0,Stormy,47174.07,966,0,W3
2023-01-05,MAC Studio Fix Powder Plus Foundation,53,587.03,1.75,932,3.8,0,0,Sunny,42229.2,985,0,W3
2023-01-05,Clinique Moisture Surge Hydrator,59,780.8,3.69,633,4.6,1,0,Sunny,21902.19,831,50,W3
2023-01-05,Huda Beauty Rose Gold Remastered Eyeshadow,43,3859.71,18.75,448,4.2,0,0,Stormy,27269.49,760,0,W2
2023-01-05,The Ordinary Niacinamide 10% + Zinc 1% Serum,31,4465.5,13.66,929,4.2,0,1,Snowy,7737.48,960,50,W1
