date,product_id,initial_stock,daily_restock,warehouse_id
2023-01-01,Lakme Absolute Skin Natural Mousse,785,50,W1
2023-01-02,Lakme Absolute Skin Natural Mousse,838,0,W1
2023-01-03,Lakme Absolute Skin Natural Mousse,595,0,W2
2023-01-04,Lakme Absolute Skin Natural Mousse,673,0,W3
2023-01-05,Lakme Absolute Skin Natural Mousse,726,0,W1
2023-01-06,Lakme Absolute Skin Natural Mousse,963,0,W3
2023-01-07,Lakme Absolute Skin Natural Mousse,913,0,W3
2023-01-08,Lakme Absolute Skin Natural Mousse,925,50,W2
2023-01-09,Lakme Absolute Skin Natural Mousse,698,50,W2
2023-01-10,Lakme Absolute Skin Natural Mousse,1051,50,W1
2023-01-11,Lakme Absolute Skin Natural Mousse,569,200,W3
2023-01-12,Lakme Absolute Skin Natural Mousse,765,100,W1
2023-01-13,Lakme Absolute Skin Natural Mousse,648,100,W1
2023-01-14,Lakme Absolute Skin Natural Mousse,765,50,W1
2023-01-15,Lakme Absolute Skin Natural Mousse,738,50,W2
2023-01-16,Lakme Absolute Skin Natural Mousse,1030,0,W1
2023-01-17,Lakme Absolute Skin Natural Mousse,834,0,W1
2023-01-18,Lakme Absolute Skin Natural Mousse,773,0,W3
2023-01-19,Lakme Absolute Skin Natural Mousse,699,0,W1
2023-01-20,Lakme Absolute Skin Natural Mousse,979,0,W1
2023-01-21,Lakme Absolute Skin Natural Mousse,863,200,W3
2023-01-22,Lakme Absolute Skin Natural Mousse,856,200,W2
2023-01-23,Lakme Absolute Skin Natural Mousse,613,100,W1
2023-01-24,Lakme Absolute Skin Natural Mousse,711,50,W2
2023-01-25,Lakme Absolute Skin Natural Mousse,1026,50,W2
2023-01-26,Lakme Absolute Skin Natural Mousse,724,0,W2
2023-01-27,Lakme Absolute Skin Natural Mousse,1070,50,W1
2023-01-28,Lakme Absolute Skin Natural Mousse,608,0,W3
2023-01-29,Lakme Absolute Skin Natural Mousse,965,0,W2
